,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격)
171,현대 뉴스타렉스  휠체어 리프트 -???,차량번호 75조3756,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202449&gubun=K,2006.04,"94,067 km",디젤,"2,497 cc ()",회색,불가,795만원,준비중,무,무,유,무,무,유,무,무,무,무,미등록,,,,,,,,,
172,현대 그랜드스타렉스  캠핑카 -???,차량번호 73조9190,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158550&gubun=K,2016.08?(17년형),"118,000 km",디젤,"2,497 cc (174마력)",검정색,불가,"2,380만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
173,현대 그랜드스타렉스  캠핑카 -??,차량번호 71서5369,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2165654&gubun=K,2010.09?(11년형),"135,000 km",디젤,"2,497 cc (174마력)",검정색,불가,"1,680만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
174,현대 그랜드스타렉스  캠핑카 -??,차량번호 83부5483,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2170307&gubun=K,2017.08?(18년형),"172,720 km",디젤,"2,497 cc (174마력)",흰색,불가,"2,480만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
175,현대 그랜드스타렉스  어린이보호차 디젤 12인승 4WD???,차량번호 71마2746,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2192136&gubun=K,2015.08?(16년형),"124,290 km",디젤,"2,497 cc (175마력)",노란색,불가,"1,495만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
176,현대 그랜드스타렉스  캠핑카 -???,차량번호 84어3033,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2192858&gubun=K,2013.09?(14년형),"275,830 km",디젤,"2,497 cc (174마력)",검정색,불가,"2,180만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
177,현대 그랜드스타렉스  캠핑카 -???,차량번호 77오8968,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2197329&gubun=K,2012.02,"247,961 km",디젤,"2,497 cc (174마력)",회색,불가,"1,995만원",준비중,무,무,유,무,무,무,무,유,무,무,미등록,,,,,,,,,
178,현대 그랜드스타렉스  2.4 LPi 왜건 12인승 스마트???,차량번호 72서9068,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2198935&gubun=K,2015.09?(16년형),"159,840 km",LPG,"2,359 cc ()",노란색,불가,"1,195만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
179,현대 그랜드스타렉스  캠핑카 -???,차량번호 99오1218,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2200420&gubun=K,2015.05?(16년형),"154,715 km",디젤,"2,497 cc (174마력)",회색,불가,"2,880만원",준비중,무,무,무,무,무,무,유,유,무,무,미등록,,,,,,,,,
180,현대 그랜드스타렉스  2.5 디젤 밴 5인승 2WD CVX 럭셔리,차량번호 86수8152,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204857&gubun=K,2011.01,"51,507 km",디젤,"2,497 cc (174마력)",은색,만료,700만원,33,무,무,유,무,무,유,무,유,무,무,등록,,,,,,,,,
181,현대 그랜드스타렉스 2.5 디젤 밴 3인승 2WD CVX 디럭스,차량번호 80로3371,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2184557&gubun=K,2013.05?(14년형),"301,000 km",디젤,"2,497 cc (174마력)",은색,만료,460만원,23,,,,,,,,,,,등록,,,,,,,,,
182,현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD  CVX 디럭스,차량번호 93오1016,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2200931&gubun=K,2009.12?(10년형),"330,000 km",디젤,"2,497 cc (174마력)",은색,만료,350만원,17,무,무,유,무,무,유,무,무,무,무,등록,,,,,,,,,
183,현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD  CVX 프리미엄,차량번호 89저2594,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203835&gubun=K,2012.01,"148,000 km",디젤,"2,497 cc (174마력)",은색,만료,699만원,31,,,,,,,,,,,등록,,,,,,,,,
184,현대 뉴스타렉스 캠핑카 ,차량번호 76무3495,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204983&gubun=K,2006.06,"190,000 km",디젤,"2,476 cc ()",흰색투톤,정보없음,"1,399만원",준비중,,,,,,,,,,,등록,,,,,,,,,
185,현대 그랜드스타렉스 캠핑카 ,차량번호 76가6251,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202594&gubun=K,2008.03,"85,206 km",디젤,"2,497 cc (174마력)",은색,정보없음,"1,900만원",준비중,,,,,,,,,,,등록,,,,,,,,,
186,현대 뉴스타렉스 캠핑카 ,차량번호 75버4997,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201983&gubun=K,2005.04,"190,000 km",디젤,"2,476 cc ()",흰색투톤,정보없음,"1,399만원",준비중,,,,,,,,,,,등록,,,,,,,,,
187,현대 그랜드스타렉스  2.5 디젤 왜건 12인승 2WD CVX 디럭스,차량번호 75거0990,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182119&gubun=K,2014.12?(15년형),"83,923 km",디젤,"2,497 cc (175마력)",진회색,정보없음,"1,159만원",준비중,무,무,유,무,무,유,무,무,무,무,등록,,,,,,,,,
188,현대 그랜드스타렉스  캠핑카 -???,차량번호 94마5959,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205212&gubun=K,2012.12?(13년형),"236,309 km",디젤,"2,497 cc (174마력)",흰색,불가,"2,280만원",준비중,무,무,유,무,무,무,무,유,무,무,미등록,,,,,,,,,
189,현대 그랜드스타렉스  어린이보호차 디젤 15인승 4WD??,차량번호 78어1159,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204001&gubun=K,2017.01,"68,644 km",디젤,"2,497 cc ()",노란색,불가,"1,995만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
190,현대 그랜드스타렉스  캠핑카 -???,차량번호 70더0314,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203655&gubun=K,2015.07?(16년형),"157,344 km",디젤,"2,497 cc (174마력)",흰색,불가,"1,995만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
191,현대 뉴스타렉스  휠체어 리프트 -???,차량번호 75조3756,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202449&gubun=K,2006.04,"94,067 km",디젤,"2,497 cc ()",회색,불가,795만원,준비중,무,무,유,무,무,유,무,무,무,무,미등록,,,,,,,,,
192,현대 그랜드스타렉스  캠핑카 -???,차량번호 73조9190,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158550&gubun=K,2016.08?(17년형),"118,000 km",디젤,"2,497 cc (174마력)",검정색,불가,"2,380만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
193,현대 그랜드스타렉스  캠핑카 -??,차량번호 71서5369,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2165654&gubun=K,2010.09?(11년형),"135,000 km",디젤,"2,497 cc (174마력)",검정색,불가,"1,680만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
194,현대 그랜드스타렉스  캠핑카 -??,차량번호 83부5483,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2170307&gubun=K,2017.08?(18년형),"172,720 km",디젤,"2,497 cc (174마력)",흰색,불가,"2,480만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
195,현대 그랜드스타렉스  어린이보호차 디젤 12인승 4WD???,차량번호 71마2746,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2192136&gubun=K,2015.08?(16년형),"124,290 km",디젤,"2,497 cc (175마력)",노란색,불가,"1,495만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
196,현대 그랜드스타렉스  캠핑카 -???,차량번호 84어3033,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2192858&gubun=K,2013.09?(14년형),"275,830 km",디젤,"2,497 cc (174마력)",검정색,불가,"2,180만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
197,현대 그랜드스타렉스  캠핑카 -???,차량번호 77오8968,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2197329&gubun=K,2012.02,"247,961 km",디젤,"2,497 cc (174마력)",회색,불가,"1,995만원",준비중,무,무,유,무,무,무,무,유,무,무,미등록,,,,,,,,,
198,현대 그랜드스타렉스  2.4 LPi 왜건 12인승 스마트???,차량번호 72서9068,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2198935&gubun=K,2015.09?(16년형),"159,840 km",LPG,"2,359 cc ()",노란색,불가,"1,195만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
199,현대 그랜드스타렉스  캠핑카 -???,차량번호 99오1218,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2200420&gubun=K,2015.05?(16년형),"154,715 km",디젤,"2,497 cc (174마력)",회색,불가,"2,880만원",준비중,무,무,무,무,무,무,유,유,무,무,미등록,,,,,,,,,
200,현대 그랜드스타렉스  2.5 디젤 밴 5인승 2WD CVX 럭셔리,차량번호 86수8152,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204857&gubun=K,2011.01,"51,507 km",디젤,"2,497 cc (174마력)",은색,만료,700만원,33,무,무,유,무,무,유,무,유,무,무,등록,,,,,,,,,
201,현대 그랜드스타렉스 2.5 디젤 밴 3인승 2WD CVX 디럭스,차량번호 80로3371,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2184557&gubun=K,2013.05?(14년형),"301,000 km",디젤,"2,497 cc (174마력)",은색,만료,460만원,23,,,,,,,,,,,등록,,,,,,,,,
202,현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD  CVX 디럭스,차량번호 93오1016,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2200931&gubun=K,2009.12?(10년형),"330,000 km",디젤,"2,497 cc (174마력)",은색,만료,350만원,17,무,무,유,무,무,유,무,무,무,무,등록,,,,,,,,,
203,현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD  CVX 프리미엄,차량번호 89저2594,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203835&gubun=K,2012.01,"148,000 km",디젤,"2,497 cc (174마력)",은색,만료,699만원,31,,,,,,,,,,,등록,,,,,,,,,
204,현대 뉴스타렉스 캠핑카 ,차량번호 76무3495,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204983&gubun=K,2006.06,"190,000 km",디젤,"2,476 cc ()",흰색투톤,정보없음,"1,399만원",준비중,,,,,,,,,,,등록,,,,,,,,,
205,현대 그랜드스타렉스 캠핑카 ,차량번호 76가6251,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202594&gubun=K,2008.03,"85,206 km",디젤,"2,497 cc (174마력)",은색,정보없음,"1,900만원",준비중,,,,,,,,,,,등록,,,,,,,,,
206,현대 뉴스타렉스 캠핑카 ,차량번호 75버4997,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201983&gubun=K,2005.04,"190,000 km",디젤,"2,476 cc ()",흰색투톤,정보없음,"1,399만원",준비중,,,,,,,,,,,등록,,,,,,,,,
207,현대 그랜드스타렉스  2.5 디젤 왜건 12인승 2WD CVX 디럭스,차량번호 75거0990,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182119&gubun=K,2014.12?(15년형),"83,923 km",디젤,"2,497 cc (175마력)",진회색,정보없음,"1,159만원",준비중,무,무,유,무,무,유,무,무,무,무,등록,,,,,,,,,
208,현대 그랜드스타렉스  캠핑카 -???,차량번호 94마5959,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205212&gubun=K,2012.12?(13년형),"236,309 km",디젤,"2,497 cc (174마력)",흰색,불가,"2,280만원",준비중,무,무,유,무,무,무,무,유,무,무,미등록,,,,,,,,,
209,현대 그랜드스타렉스  어린이보호차 디젤 15인승 4WD??,차량번호 78어1159,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204001&gubun=K,2017.01,"68,644 km",디젤,"2,497 cc ()",노란색,불가,"1,995만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
210,현대 그랜드스타렉스  캠핑카 -???,차량번호 70더0314,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203655&gubun=K,2015.07?(16년형),"157,344 km",디젤,"2,497 cc (174마력)",흰색,불가,"1,995만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
211,현대 뉴스타렉스  휠체어 리프트 -???,차량번호 75조3756,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202449&gubun=K,2006.04,"94,067 km",디젤,"2,497 cc ()",회색,불가,795만원,준비중,무,무,유,무,무,유,무,무,무,무,미등록,,,,,,,,,
212,현대 그랜드스타렉스  캠핑카 -???,차량번호 73조9190,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158550&gubun=K,2016.08?(17년형),"118,000 km",디젤,"2,497 cc (174마력)",검정색,불가,"2,380만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
213,현대 그랜드스타렉스  캠핑카 -??,차량번호 71서5369,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2165654&gubun=K,2010.09?(11년형),"135,000 km",디젤,"2,497 cc (174마력)",검정색,불가,"1,680만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
214,현대 그랜드스타렉스  캠핑카 -??,차량번호 83부5483,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2170307&gubun=K,2017.08?(18년형),"172,720 km",디젤,"2,497 cc (174마력)",흰색,불가,"2,480만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
215,현대 그랜드스타렉스  어린이보호차 디젤 12인승 4WD???,차량번호 71마2746,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2192136&gubun=K,2015.08?(16년형),"124,290 km",디젤,"2,497 cc (175마력)",노란색,불가,"1,495만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
216,현대 그랜드스타렉스  캠핑카 -???,차량번호 84어3033,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2192858&gubun=K,2013.09?(14년형),"275,830 km",디젤,"2,497 cc (174마력)",검정색,불가,"2,180만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
217,현대 그랜드스타렉스  캠핑카 -???,차량번호 77오8968,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2197329&gubun=K,2012.02,"247,961 km",디젤,"2,497 cc (174마력)",회색,불가,"1,995만원",준비중,무,무,유,무,무,무,무,유,무,무,미등록,,,,,,,,,
218,현대 그랜드스타렉스  2.4 LPi 왜건 12인승 스마트???,차량번호 72서9068,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2198935&gubun=K,2015.09?(16년형),"159,840 km",LPG,"2,359 cc ()",노란색,불가,"1,195만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
219,현대 그랜드스타렉스  캠핑카 -???,차량번호 99오1218,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2200420&gubun=K,2015.05?(16년형),"154,715 km",디젤,"2,497 cc (174마력)",회색,불가,"2,880만원",준비중,무,무,무,무,무,무,유,유,무,무,미등록,,,,,,,,,
220,현대 그랜드스타렉스  2.5 디젤 밴 5인승 2WD CVX 럭셔리,차량번호 86수8152,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204857&gubun=K,2011.01,"51,507 km",디젤,"2,497 cc (174마력)",은색,만료,700만원,33,무,무,유,무,무,유,무,유,무,무,등록,,,,,,,,,
221,현대 그랜드스타렉스 2.5 디젤 밴 3인승 2WD CVX 디럭스,차량번호 80로3371,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2184557&gubun=K,2013.05?(14년형),"301,000 km",디젤,"2,497 cc (174마력)",은색,만료,460만원,23,,,,,,,,,,,등록,,,,,,,,,
222,현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD  CVX 디럭스,차량번호 93오1016,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2200931&gubun=K,2009.12?(10년형),"330,000 km",디젤,"2,497 cc (174마력)",은색,만료,350만원,17,무,무,유,무,무,유,무,무,무,무,등록,,,,,,,,,
223,현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD  CVX 프리미엄,차량번호 89저2594,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203835&gubun=K,2012.01,"148,000 km",디젤,"2,497 cc (174마력)",은색,만료,699만원,31,,,,,,,,,,,등록,,,,,,,,,
224,현대 뉴스타렉스 캠핑카 ,차량번호 76무3495,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204983&gubun=K,2006.06,"190,000 km",디젤,"2,476 cc ()",흰색투톤,정보없음,"1,399만원",준비중,,,,,,,,,,,등록,,,,,,,,,
225,현대 그랜드스타렉스 캠핑카 ,차량번호 76가6251,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202594&gubun=K,2008.03,"85,206 km",디젤,"2,497 cc (174마력)",은색,정보없음,"1,900만원",준비중,,,,,,,,,,,등록,,,,,,,,,
226,현대 뉴스타렉스 캠핑카 ,차량번호 75버4997,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201983&gubun=K,2005.04,"190,000 km",디젤,"2,476 cc ()",흰색투톤,정보없음,"1,399만원",준비중,,,,,,,,,,,등록,,,,,,,,,
227,현대 그랜드스타렉스  2.5 디젤 왜건 12인승 2WD CVX 디럭스,차량번호 75거0990,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182119&gubun=K,2014.12?(15년형),"83,923 km",디젤,"2,497 cc (175마력)",진회색,정보없음,"1,159만원",준비중,무,무,유,무,무,유,무,무,무,무,등록,,,,,,,,,
228,현대 그랜드스타렉스  캠핑카 -???,차량번호 94마5959,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205212&gubun=K,2012.12?(13년형),"236,309 km",디젤,"2,497 cc (174마력)",흰색,불가,"2,280만원",준비중,무,무,유,무,무,무,무,유,무,무,미등록,,,,,,,,,
229,현대 그랜드스타렉스  어린이보호차 디젤 15인승 4WD??,차량번호 78어1159,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204001&gubun=K,2017.01,"68,644 km",디젤,"2,497 cc ()",노란색,불가,"1,995만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
230,현대 그랜드스타렉스  캠핑카 -???,차량번호 70더0314,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203655&gubun=K,2015.07?(16년형),"157,344 km",디젤,"2,497 cc (174마력)",흰색,불가,"1,995만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
231,현대 뉴스타렉스  휠체어 리프트 -???,차량번호 75조3756,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202449&gubun=K,2006.04,"94,067 km",디젤,"2,497 cc ()",회색,불가,795만원,준비중,무,무,유,무,무,유,무,무,무,무,미등록,,,,,,,,,
232,현대 그랜드스타렉스  캠핑카 -???,차량번호 73조9190,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158550&gubun=K,2016.08?(17년형),"118,000 km",디젤,"2,497 cc (174마력)",검정색,불가,"2,380만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
233,현대 그랜드스타렉스  캠핑카 -??,차량번호 71서5369,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2165654&gubun=K,2010.09?(11년형),"135,000 km",디젤,"2,497 cc (174마력)",검정색,불가,"1,680만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
234,현대 그랜드스타렉스  캠핑카 -??,차량번호 83부5483,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2170307&gubun=K,2017.08?(18년형),"172,720 km",디젤,"2,497 cc (174마력)",흰색,불가,"2,480만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
235,현대 그랜드스타렉스  어린이보호차 디젤 12인승 4WD???,차량번호 71마2746,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2192136&gubun=K,2015.08?(16년형),"124,290 km",디젤,"2,497 cc (175마력)",노란색,불가,"1,495만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
236,현대 그랜드스타렉스  캠핑카 -???,차량번호 84어3033,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2192858&gubun=K,2013.09?(14년형),"275,830 km",디젤,"2,497 cc (174마력)",검정색,불가,"2,180만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
237,현대 그랜드스타렉스  캠핑카 -???,차량번호 77오8968,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2197329&gubun=K,2012.02,"247,961 km",디젤,"2,497 cc (174마력)",회색,불가,"1,995만원",준비중,무,무,유,무,무,무,무,유,무,무,미등록,,,,,,,,,
238,현대 그랜드스타렉스  2.4 LPi 왜건 12인승 스마트???,차량번호 72서9068,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2198935&gubun=K,2015.09?(16년형),"159,840 km",LPG,"2,359 cc ()",노란색,불가,"1,195만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
239,현대 그랜드스타렉스  캠핑카 -???,차량번호 99오1218,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2200420&gubun=K,2015.05?(16년형),"154,715 km",디젤,"2,497 cc (174마력)",회색,불가,"2,880만원",준비중,무,무,무,무,무,무,유,유,무,무,미등록,,,,,,,,,
240,현대 그랜드스타렉스  2.5 디젤 밴 5인승 2WD CVX 럭셔리,차량번호 86수8152,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204857&gubun=K,2011.01,"51,507 km",디젤,"2,497 cc (174마력)",은색,만료,700만원,33,무,무,유,무,무,유,무,유,무,무,등록,,,,,,,,,
241,현대 그랜드스타렉스 2.5 디젤 밴 3인승 2WD CVX 디럭스,차량번호 80로3371,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2184557&gubun=K,2013.05?(14년형),"301,000 km",디젤,"2,497 cc (174마력)",은색,만료,460만원,23,,,,,,,,,,,등록,,,,,,,,,
242,현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD  CVX 디럭스,차량번호 93오1016,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2200931&gubun=K,2009.12?(10년형),"330,000 km",디젤,"2,497 cc (174마력)",은색,만료,350만원,17,무,무,유,무,무,유,무,무,무,무,등록,,,,,,,,,
243,현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD  CVX 프리미엄,차량번호 89저2594,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203835&gubun=K,2012.01,"148,000 km",디젤,"2,497 cc (174마력)",은색,만료,699만원,31,,,,,,,,,,,등록,,,,,,,,,
244,현대 포터2 CRDi 슈퍼캡 초장축 하이-SUP 최고급형,차량번호 97저6435,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201283&gubun=K,2018.05,"53,635 km",디젤,"2,497 cc ()",청색,정보없음,"1,090만원",준비중,무,무,유,무,무,유,무,무,무,무,등록,,,,,,,,,
245,현대 포터2 윙바디,차량번호 808소6434,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2173781&gubun=K,2015.03,"365,000 km",디젤,"2,497 cc (123마력)",흰색,만료,690만원,준비중,,,,,,,,,,,등록,,,,,,,,,
246,현대 포터2 CRDi 슈퍼캡  초장축 디럭스 고급형,차량번호 840수8846,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205260&gubun=K,2020.07,"36,166 km",디젤,"2,497 cc ()",흰색,정보없음,"1,900만원",준비중,무,무,유,무,무,무,무,무,무,무,등록,,,,,,,,,
247,현대 포터2  CRDi 슈퍼캡 초장축 스마트???,차량번호 83부0821,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177871&gubun=K,2017.07?(18년형),"148,903 km",디젤,"2,497 cc ()",흰색,불가,893만원,준비중,무,무,유,무,무,유,무,무,무,무,미등록,,,,,,,,,
248,현대 포터2 CRDi 슈퍼캡  초장축 스마트,차량번호 85주6163,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201949&gubun=K,2018.10,"79,875 km",디젤,"2,497 cc ()",청색,정보없음,"1,199만원",준비중,무,무,유,무,무,무,무,무,무,무,등록,,,,,,,,,
249,현대 포터2  CRDi 슈퍼캡 초장축 SUP 일반형??,차량번호 94부6798,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202448&gubun=K,2013.06?(14년형),"229,689 km",디젤,"2,497 cc ()",청색,불가,492만원,준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
250,현대 포터2  캠핑카 -???,차량번호 98러9888,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2191203&gubun=K,2017.05,"23,350 km",디젤,"2,497 cc (133마력)",흰색,불가,"3,680만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
251,현대 포터2 CRDi 슈퍼캡  초장축 하이-SUP 고급형,차량번호 87보3398,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205350&gubun=K,2010.08?(11년형),"80,308 km",디젤,"2,497 cc ()",청색,정보없음,570만원,준비중,,,,,,,,,,,등록,,,,,,,,,
252,현대 포터2 CRDi 슈퍼캡  초장축 골드 기본형,차량번호 97구8100,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203653&gubun=K,2016.07?(17년형),"340,000 km",디젤,"2,497 cc ()",청색,정보없음,530만원,준비중,무,무,유,무,무,유,무,유,무,무,등록,,,,,,,,,
253,현대 포터2  CRDi 슈퍼캡 초장축 하이-SUP 기본형??,차량번호 82나0744,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202945&gubun=K,2013.08?(14년형),"108,000 km",디젤,"2,497 cc ()",청색,불가,930만원,준비중,무,무,유,무,무,유,무,무,무,무,미등록,,,,,,,,,
254,현대 포터2 파워게이트,차량번호 87오6950,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204994&gubun=K,2017.01,"108,605 km",디젤,"2,497 cc ()",흰색,만료,"1,160만원",준비중,무,무,유,무,무,유,무,유,무,무,등록,,,,,,,,,
255,현대 포터2 CRDi 슈퍼캡 초장축 스타일,차량번호 96마2783,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201883&gubun=K,2018.08,"240,073 km",디젤,"2,497 cc ()",파란색,정보없음,760만원,준비중,,,,,,,,,,,등록,,,,,,,,,
256,현대 포터2 슈퍼캡 초장축 스타일,차량번호 83부6833,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2200522&gubun=K,2018.06,"249,704 km",디젤,"2,497 cc ()",청색,정보없음,660만원,준비중,무,무,무,무,무,무,무,무,무,무,등록,,,,,,,,,
257,현대 포터2 CRDi 슈퍼캡 초장축 SUP 일반형,차량번호 817다7495,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2200750&gubun=K,2023.03?(14년형),"54,601 km",디젤,"2,497 cc ()",파란색,정보없음,"1,040만원",준비중,무,무,무,무,무,무,무,무,무,무,등록,,,,,,,,,
